,r,h,y,g,l,i,v,k,o,m,u,b,x,t,z,f,w,s,a,p,e,n,c,d,final
q40,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q41,q0,q10,q26,0
q41,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q42,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q43,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q43,q69,q0,q0,q57,q65,q61,q127,q0,q0,q44,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q44,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q45,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q46,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q46,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q47,q0,q10,q26,0
q47,q48,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q48,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q49,q10,q26,0
q49,q69,q0,q0,q57,q65,q61,q127,q0,q0,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,1
q50,q69,q0,q0,q57,q51,q61,q127,q0,q55,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
q51,q69,q0,q0,q57,q65,q61,q127,q0,q52,q0,q116,q5,q0,q109,q0,q50,q137,q81,q1,q0,q38,q0,q10,q26,0
