,y,e,g,u,q,a,b,j,s,n,o,i,x,r,t,z,m,k,f,w,l,h,p,v,c,d
q91-q0-q7,q0,q14-q0-q28,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q11-q92-q0,q0,q14-q0,q13-q0,q20-q110-q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q10-q93-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q21-q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q111-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q94-q0-q7,q0,q14-q0-q28,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q112-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q13-q0-q84-q95,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0-q113-q114,q18-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q96,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q97-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q14-q0-q126,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0-q133
q0-q98,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0-q115,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q8-q0-q99,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q26-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q27-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0-q116,q138-q0
q1-q0-q100,q0,q14-q0,q13-q0,q0-q12,q0,q11-q35-q0,q10-q0,q0,q0-q9,q0,q36-q0,q8-q0,q0,q0-q7,q0-q117-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q37-q0,q0,q0-q2,q1-q0,q138-q0
q1-q0-q101,q0,q14-q0,q13-q0,q0-q12,q0,q11-q35-q0,q10-q0,q0,q0-q9,q0,q36-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q37-q0-q118,q0,q0-q2,q1-q0,q138-q0
q0-q102-q6,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q103-q9,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0-q22,q0,q0-q7,q0-q119-q23-q6,q0,q0,q0,q5-q0,q0-q24-q4,q3-q0,q0-q25,q0,q0-q2,q1-q0,q138-q0
q0-q7-q104,q0,q14-q0-q28,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0-q120,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q138-q0-q104,q0,q38-q14-q0-q121,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q38-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q105-q0-q6,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q14-q0-q106,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q6-q107,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0-q122,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q108-q0-q23-q6,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0-q49,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7-q50,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q109-q8-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q123-q26-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q27-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q20-q110-q0-q12,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0-q19,q0,q8-q0,q0,q0-q7,q45-q0-q6,q0,q0,q0,q5-q0,q0-q4,q124-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q111-q3-q0,q0,q125-q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q33-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q112-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q113-q114,q0,q14-q0-q126-q127,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q138-q0-q133,q0,q38-q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q38-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q5-q0-q115,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q30-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q31-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q1-q0-q116,q0,q14-q0,q13-q0,q0-q12,q0,q11-q35-q0,q10-q0,q0,q0-q9,q0,q36-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q37-q0,q0,q0-q2,q1-q0,q138-q0
q0-q117-q6,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q37-q0-q118,q0,q14-q0,q13-q0,q0-q12,q0,q11-q64-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q119-q23-q6,q0-q29,q14-q0-q128,q13-q0,q0-q12,q0,q11-q0-q49,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7-q50,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q120,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q38-q14-q0-q121,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q65-q5-q0-q129,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q8-q0-q122,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q26-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q27-q0,q0-q4,q3-q0-q130,q0,q0,q0-q2,q1-q0,q138-q0
q123-q26-q0,q0,q14-q0,q13-q0,q131-q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q47-q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q124-q3-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q33-q0,q8-q0,q0,q0-q7,q132-q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q125-q14-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q14-q0-q126-q127,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0-q133-q134
q14-q0-q128,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7-q135,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q65-q5-q0-q129,q0,q14-q0,q13-q0,q0-q12,q0,q11-q92-q0,q10-q0,q0,q0-q9,q0,q30-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q31-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q3-q0-q130,q0,q14-q0-q136,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q33-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q131-q0-q12,q0,q137-q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0-q19,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q132-q0-q6,q0-q29,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q138-q0-q133-q134,q0,q38-q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q38-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q7-q135,q0,q14-q0-q28,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q14-q0-q136,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q137-q14-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q15-q0,q0,q8-q0,q16-q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q17-q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
