Time,X,Y,Z,R,Theta,Phi,label
0.690045,4.527435,6.730101,5.643134,9.881138,55.17292,56.070713,BUENO
0.700088,4.507085,6.651093,5.589264,9.787272,55.174797,55.876633,BUENO
0.709925,4.452018,6.625953,5.564125,9.73053,55.122669,56.102604,BUENO
0.7200679,4.394557,6.636727,5.554548,9.70625,55.091675,56.489178,BUENO
0.730792,4.35625,6.695385,5.538986,9.720363,55.261402,56.950573,BUENO
0.739982,4.371812,6.803124,5.665878,9.874078,54.983421,57.274456,BUENO
0.750124,4.505888,6.936002,5.749675,10.073227,55.194817,56.990734,BUENO
0.7613249,4.663905,7.022193,5.720945,10.187857,55.837254,56.409222,BUENO
0.770281,4.72376,6.973113,5.695806,10.167616,55.931,55.885311,BUENO
0.780012,4.795586,6.867768,5.732916,10.150379,55.611721,55.07439,BUENO
0.790105,4.693832,6.739678,5.746084,10.023613,55.022491,55.14481,BUENO
0.80009,4.519056,6.640318,5.722142,9.861978,54.533798,55.762833,BUENO
0.8101479,4.369418,6.636727,5.683835,9.769542,54.423367,56.640316,BUENO
0.8211589,4.272453,6.715736,5.657499,9.76536,54.595612,57.536079,BUENO
0.831274,4.250905,6.791153,5.649119,9.803188,54.812557,57.955597,BUENO
0.839968,4.276044,6.824672,5.560534,9.786737,55.377266,57.930519,BUENO
0.850222,4.254497,6.795941,5.507861,9.727388,55.512806,57.951996,BUENO
0.860363,4.258088,6.789956,5.543774,9.745165,55.328236,57.907532,BUENO
0.870219,4.31076,6.816292,5.610812,9.82475,55.173763,57.689919,BUENO
0.880345,4.355053,6.877345,5.626374,9.895475,55.348705,57.656116,BUENO
0.89019,4.357447,6.907272,5.644331,9.927548,55.350662,57.754253,BUENO
0.899938,4.352659,6.913258,5.645528,9.930295,55.353222,57.805058,BUENO
0.910201,4.344279,6.901287,5.62398,9.906042,55.407761,57.810066,BUENO
0.920133,4.294001,6.842628,5.699397,9.886513,54.796513,57.890217,BUENO
0.9300709,4.156334,6.748057,5.752069,9.792737,54.02861,58.36982,BUENO
0.939948,3.967192,6.660669,5.683835,9.612966,53.752987,59.221352,BUENO
0.94991,3.870227,6.678626,5.610812,9.542741,53.987164,59.90794,BUENO
0.960341,3.890578,6.740875,5.571307,9.571596,54.403969,60.008083,BUENO
0.970038,3.974375,6.79235,5.546168,9.62765,54.825634,59.667027,BUENO
0.980078,4.185065,6.821081,5.584476,9.758497,55.091469,58.468861,BUENO
0.990423,4.456807,6.845023,5.627571,9.919023,55.434265,56.931778,BUENO
0.9999599,4.801571,6.897695,5.612009,10.105837,56.267002,55.157745,BUENO
1.010114,4.955997,6.861782,5.583278,10.139969,56.590382,54.160885,BUENO
1.020012,5.030218,6.799533,5.639542,10.165686,56.305634,53.506382,BUENO
1.030118,5.090073,6.745663,5.756858,10.225176,55.735909,52.962906,BUENO
1.040051,5.12838,6.678626,5.790377,10.219236,55.485458,52.48008,BUENO
1.0501209,5.158308,6.618771,5.70658,10.14797,55.782425,52.069099,BUENO
1.059927,5.214571,6.59842,5.574899,10.090114,56.460552,51.681534,BUENO
1.069968,5.297171,6.667852,5.493496,10.13404,57.174416,51.53516,BUENO
1.0799739,5.297171,6.737284,5.500679,10.183736,57.306591,51.823895,BUENO
1.0900329,5.276821,6.811504,5.543774,10.245724,57.242691,52.235325,BUENO
1.100283,5.190629,6.876147,5.505467,10.224197,57.420166,52.951771,BUENO
1.110075,5.035006,6.901287,5.464766,10.141139,57.393185,53.886444,BUENO
1.120034,4.891354,6.859388,5.383362,9.997857,57.421703,54.507751,BUENO
1.1300789,4.790798,6.82946,5.357026,9.914182,57.293232,54.950726,BUENO
1.1399519,4.727351,6.787562,5.358223,9.855425,57.065315,55.143845,BUENO
1.1505369,4.692636,6.746861,5.407305,9.837678,56.656818,55.180279,BUENO
1.16053,4.666299,6.730101,5.407305,9.813642,56.564438,55.264587,BUENO
1.1701169,4.588488,6.740875,5.398925,9.779673,56.491837,55.75703,BUENO
1.179996,4.514267,6.760028,5.368997,9.741803,56.55545,56.265469,BUENO
1.190053,4.440047,6.769605,5.35942,9.709015,56.495361,56.739941,BUENO
1.2004139,4.377798,6.812701,5.329493,9.694406,56.650185,57.275459,BUENO
1.2100739,4.296395,6.835446,5.30196,9.658835,56.706825,57.848732,BUENO
1.220927,4.224569,6.827066,5.331887,9.637678,56.410866,58.250896,BUENO
1.230112,4.224569,6.80911,5.379771,9.651575,56.12394,58.183338,BUENO
1.240014,4.309563,6.781576,5.42167,9.693122,55.99041,57.564816,BUENO
1.250253,4.428076,6.740875,5.486313,9.754326,55.774647,56.699116,BUENO
1.259933,4.534618,6.690597,5.536592,9.796973,55.588482,55.872158,BUENO
1.2703929,4.557363,6.619968,5.567716,9.777167,55.28735,55.455437,BUENO
1.28001,4.487931,6.59842,5.567716,9.730371,55.096233,55.778324,BUENO
1.2901469,4.377798,6.639122,5.536592,9.690041,55.154236,56.599377,BUENO
1.2999589,4.325125,6.75524,5.471948,9.709902,55.698818,57.370098,BUENO
1.310059,4.322731,6.860585,5.426458,9.757052,56.209522,57.785709,BUENO
1.3199619,4.40174,6.930017,5.371391,9.810825,56.804577,57.577507,BUENO
1.330157,4.515464,6.949171,5.372589,9.876493,57.045193,56.984806,BUENO
1.3410879,4.617218,6.931214,5.415684,9.934287,56.965034,56.33049,BUENO
1.349943,4.67827,6.876147,5.48751,9.963954,56.582466,55.770111,BUENO
1.360177,4.744111,6.831854,5.554548,10.001691,56.264427,55.223484,BUENO
1.3702339,4.782418,6.821081,5.597643,10.036547,56.101318,54.964813,BUENO
1.380097,4.782418,6.816292,5.584476,10.025952,56.151279,54.945896,BUENO
1.390186,4.768053,6.801927,5.548563,9.989348,56.25843,54.9701,BUENO
1.399985,4.726154,6.786365,5.516241,9.940834,56.295677,55.145905,BUENO
1.4100699,4.684256,6.816292,5.523423,9.945466,56.263729,55.502583,BUENO
1.419946,4.653131,6.841431,5.517438,9.944795,56.302601,55.778812,BUENO
1.430486,4.654328,6.870162,5.463568,9.935415,56.639271,55.883545,BUENO
1.4400359,4.649539,6.902483,5.452795,9.949647,56.767414,56.035641,BUENO
1.4503709,4.654328,6.941988,5.453991,9.97998,56.873234,56.159714,BUENO
1.4601179,4.650737,6.973113,5.505467,10.028151,56.701481,56.298584,BUENO
1.4701329,4.67827,7.012617,5.597643,10.119122,56.414906,56.291878,BUENO
1.480032,4.649539,7.009026,5.670667,10.144019,56.012241,56.441113,BUENO
1.4904029,4.572925,6.977901,5.693412,10.100381,55.689125,56.761414,BUENO
1.499929,4.462792,6.902483,5.650316,9.97431,55.494389,57.11536,BUENO
1.5100939,4.340688,6.843825,5.604826,9.853607,55.332745,57.615135,BUENO
1.520007,4.235343,6.791153,5.565322,9.748369,55.187145,58.050026,BUENO
1.5301049,4.159925,6.785168,5.515044,9.682933,55.28022,58.487911,BUENO
1.5399469,4.158728,6.833052,5.475539,9.693665,55.607605,58.674492,BUENO
1.5503449,4.192247,6.895301,5.445612,9.735235,55.987667,58.700977,BUENO
1.5600729,4.270059,6.964733,5.433641,9.811491,56.371635,58.487652,BUENO
1.5704839,4.378995,7.012617,5.439626,9.896561,56.65712,58.017479,BUENO
1.579975,4.489128,7.025785,5.463568,9.968175,56.763161,57.423439,BUENO
1.5902029,4.578911,6.989872,5.491102,9.998847,56.689671,56.772079,BUENO
